ds,yhat,yhat_lower,yhat_upper
2018-08-01 12:00:00,14377.514886486519,10558.17167771131,18173.99896610741
2018-08-01 13:00:00,14442.635974175077,10546.413341461706,18208.899819639526
2018-08-01 14:00:00,14507.757063105819,10623.851138518432,18380.901841838928
2018-08-01 15:00:00,14572.878153587195,10812.238927298147,18059.722226423044
2018-08-01 16:00:00,14637.999243433707,10802.302098674334,18372.43283194589
2018-08-01 17:00:00,14703.120331459804,10708.739375110292,18579.757911391276
2018-08-01 18:00:00,14768.241418772654,10838.002929686734,18517.564670230142
2018-08-01 19:00:00,14833.36250674965,11011.492587088213,18663.861798236034
2018-08-01 20:00:00,14898.483594726644,10989.14673826691,18788.28290517592
2018-08-01 21:00:00,14963.604682713318,11280.108750736017,18564.528530307918
2018-08-01 22:00:00,15028.725772522293,10849.119435211642,18885.98867395969
2018-08-01 23:00:00,15093.846861871494,11035.241633362597,19034.161109311943
2018-08-02 00:00:00,15158.96795019533,11404.490125913948,19033.54915448781
2018-08-02 01:00:00,15224.089039055098,11286.570110612618,19068.478681529064
2018-08-02 02:00:00,15289.210127677343,11586.741582055867,19196.123400267435
2018-08-02 03:00:00,15354.33121581051,11472.44686555183,19324.112962644584
2018-08-02 04:00:00,15419.452304171598,11625.814547404043,19236.932322495697
2018-08-02 05:00:00,15484.573391003927,11809.776615519339,19384.588082412694
2018-08-02 06:00:00,15549.69447959202,11686.354418754285,19529.309881448215
2018-08-02 07:00:00,15614.8155660951,11976.575779385223,19404.735402510745
2018-08-02 08:00:00,15679.93665115615,11741.458629487668,19474.181399053326
2018-08-02 09:00:00,15745.057736217195,11597.740858461606,19189.91034692359
2018-08-02 10:00:00,15810.178820024394,12195.458177127657,19967.616812005333
2018-08-02 11:00:00,15875.299904635549,11954.107004979787,19826.764061944912
2018-08-02 12:00:00,15940.420987364218,12092.75715631854,19322.59142548509
2018-08-02 13:00:00,16005.542071783719,12044.678213637986,20315.734420284545
2018-08-02 14:00:00,16070.663156331746,12174.86929907282,19661.43932925019
2018-08-02 15:00:00,16135.784239606359,12531.802674266857,20131.494586981342
2018-08-02 16:00:00,16200.905322018218,11928.028786620644,20193.934810355415
2018-08-02 17:00:00,16266.026404430077,13044.789136464859,20166.957109335042
2018-08-02 18:00:00,16331.147486841935,12513.899931879576,20338.76020191968
2018-08-02 19:00:00,16396.268569253796,12440.87389262572,20089.33486252134
2018-08-02 20:00:00,16461.389651665653,12442.234635319297,20413.01075895694
2018-08-02 21:00:00,16526.510734077514,12676.305009394879,20184.28682628496
2018-08-02 22:00:00,16591.63181648937,12568.117690857067,20045.023194370082
2018-08-03 22:00:00,18154.53779437399,14519.793363913026,21918.924478055345
2018-08-04 22:00:00,19717.44377225861,15678.497561550525,23424.41598925452
2018-08-05 22:00:00,21280.34975014323,17479.970794304994,25179.347764889346
2018-08-06 22:00:00,22843.25572802785,19062.921232115394,26849.401362051376
2018-08-07 22:00:00,24406.161705912466,20656.420685261834,28415.554046777437
2018-08-08 22:00:00,25969.06768379709,22295.418023368627,29632.99008137476
2018-08-09 22:00:00,27531.97366168171,23712.832920127526,31348.550029322392
2018-08-10 22:00:00,29094.87963956633,25136.099622997106,32983.941530096614
2018-08-11 22:00:00,30657.78561745095,26989.23803112457,34448.354375301926
2018-08-12 22:00:00,32220.691595335567,28574.73175637541,36259.02840355624
2018-08-13 22:00:00,33783.597573220184,30008.44259062797,37587.60014598982
2018-08-14 22:00:00,35346.503551104805,31216.249618284633,39236.91647429749
2018-08-15 22:00:00,36909.409528989425,33055.1678628999,40641.79396354851
2018-08-16 22:00:00,38472.315506874045,34535.00190218823,42257.549560068044
2018-08-17 22:00:00,40035.22148475866,36401.390797388776,43944.204473959464
2018-08-18 22:00:00,41598.127462643286,37958.260604145,45571.16005974185
2018-08-19 22:00:00,43161.033440527906,39264.81466653522,46824.67620763933
2018-08-20 22:00:00,44723.93941841253,40914.774243544285,48490.346461793364
2018-08-21 22:00:00,46286.84539629715,42651.93757777758,50411.04132537641
2018-08-22 22:00:00,47849.75137418176,44174.316996774076,51612.76590838974
2018-08-23 22:00:00,49412.65735206638,45848.01932160918,53535.45381174414
2018-08-24 22:00:00,50975.563329951,47080.12919367351,54556.71364431099
2018-08-25 22:00:00,52538.46930783562,48571.596369403094,56379.79663158688
2018-08-26 22:00:00,54101.375285720234,50192.32592735018,58062.38503988075
2018-08-27 22:00:00,55664.28126360486,51760.93651152864,59548.93743652065
2018-08-28 22:00:00,57227.187241489475,52990.25285434221,61231.81743784729
2018-08-29 22:00:00,58790.0932193741,54926.41556860316,62912.74482497628
2018-08-30 22:00:00,60352.99919725872,56471.39810856916,64084.31727737891
2018-08-31 22:00:00,61915.905175143336,58042.952288851724,65893.36849904322
2018-09-01 22:00:00,63478.81115302796,59556.78553245937,67400.87015024779
